z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,AR,N2
0.091249999999999998,0.0048119371122525029,0.5427569184219424,582.2538269785797,0.5834262302028806,0.0,1.4355586519028459e-15,4.0860836978641344e-16,0.13175101309755666,1.8914402446206009e-13,0.058135514765590687,5.1049967978754121e-09,2.6221440382581438e-09,1.1978523166333147e-30,1.199198840382607e-33,5.6681402857282767e-20,3.2116085904932148e-21,9.455880909143971e-09,0.05752642530353573,3.2656179964784391e-06,0.031094496592176436,8.203711952332019e-18,7.5777651154566021e-07,5.1554866064536225e-21,1.4041878217848558e-12,3.7406532785060664e-09,1.405336939124895e-29,7.9053809730573261e-12,5.4149108644837536e-21,7.1051825212500309e-09,2.3420260894048349e-16,1.1935736226250941e-06,1.2143375119512164e-26,6.7889438137253242e-15,4.2960444933628927e-16,0.009132687663543913,0.71235461757110041
0.092499999999999999,0.0038401412672575876,0.5063434305000164,630.8029239113971,0.539134586634138,0.0,9.6551097885205324e-15,2.4989663601091747e-15,0.12085545829143593,3.1129699595172571e-13,0.067118106967246682,6.1470041436443868e-09,3.063267523713962e-09,7.1511553392672196e-33,2.2693348622881202e-32,1.4680692929280238e-19,7.8438670119194099e-21,1.4176496048971349e-08,0.05262427880935279,3.8588857923566582e-06,0.037730763013280731,2.7964994538520028e-17,9.1161081759871205e-07,2.3897906849518433e-20,1.7579245992447113e-12,4.5146577467336097e-09,7.3448636132910392e-29,9.527640912123975e-12,2.3546878233271289e-20,8.5813486468342279e-09,7.5031440113222657e-16,1.4553601897117042e-06,6.8569127711923785e-26,8.3510848400483579e-15,5.2846120261721802e-16,0.0091350156018391148,0.71253011496565222
0.09375,0.0028781326491049927,0.45622817806414223,679.10623658861573,0.5014238311030379,0.0,4.7267960536223327e-14,1.2814806084374736e-14,0.10985820727777221,6.1871170135540517e-13,0.076007743541925521,7.2516193618069441e-09,3.497801768607797e-09,1.8746756451890041e-31,3.8891641176430117e-31,4.7542760670945351e-19,2.355164626160871e-20,2.1485360268303545e-08,0.047693091728092898,4.4593976587932334e-06,0.044552524032851183,9.1307860110874353e-17,1.0667200287112018e-06,1.0083905448693405e-19,2.0564756205142816e-12,5.290978438595329e-09,3.1799415420523213e-28,1.1185766490481635e-11,9.3647722335599903e-20,1.0089021412716389e-08,2.4129956092831419e-15,1.7231043098058067e-06,3.2870389554422434e-25,9.9635862734153391e-15,6.3050826688986528e-16,0.0091378607231209878,0.71274327584552433
0.095000000000000001,0.001975278862596558,0.39209984524939945,726.45516896263246,0.46937940021459296,0.0,1.7561499429663875e-13,5.4550138945497252e-14,0.098929194578938298,1.476103225637048e-12,0.084712626692557857,8.416779674969261e-09,3.9112443279077309e-09,7.9513778961389003e-31,6.3160604147183352e-30,1.891925155363647e-18,8.5989766624656324e-20,3.3219097585290749e-08,0.042797518431983816,5.0578777435234322e-06,0.05142545397511393,2.8854993942108016e-16,1.2190850660153939e-06,3.7673069199410926e-19,2.2670768931830158e-12,6.0419049989927446e-09,7.9207389006514567e-28,1.2848397257362352e-11,3.4674796648774557e-19,1.159610103402248e-08,7.7040917226193777e-15,1.989684827552054e-06,6.7102009435552535e-25,1.1590215890535065e-14,7.334618810377088e-16,0.0091411143537286216,0.71298576211807063
0.096250000000000002,0.0011843199844402813,0.31402672255133607,772.39496656338838,0.44208340733566104,0.0,5.3566747339918432e-13,1.9926260832987945e-13,0.08818893394748388,3.9809720613225461e-12,0.093176148925100774,9.6490487716978399e-09,4.2787838733793166e-09,9.2024805531704377e-31,9.9532318547003958e-29,8.7483334895649877e-18,3.6233926700850459e-19,5.3033325332656457e-08,0.037983160396573581,5.6475924068055653e-06,0.058247575078367364,8.9667979034994387e-16,1.3643702249060349e-06,1.2619064483286927e-18,2.4644039664489491e-12,6.7395037558436068e-09,0.0,1.4491840061392837e-11,1.2272388854622816e-18,1.3072112944603234e-08,2.4774521845481496e-14,2.2480167935688366e-06,0.0,1.3202791836100311e-14,8.3558672041136703e-16,0.0091446785155666586,0.71325015636299605
0.096875000000000003,0.00084723575342536203,0.26984898660120477,794.72890069448283,0.42996916234604116,0.0,9.1072354334193743e-13,3.7243021553331844e-13,0.082842820559033789,6.8477625935686976e-12,0.097364954336903481,1.0304172976033565e-08,4.4309956102834394e-09,5.2974060272769319e-35,4.192482300111719e-28,2.0374372057486651e-17,8.0278610467809799e-19,6.9248320813591446e-08,0.03558334790639521,5.941653597789557e-06,0.061661846908955931,1.6013196239535912e-15,1.4329565598327424e-06,2.2658767343537045e-18,2.6507400351380674e-12,7.061539161642023e-09,0.0,1.531161644111695e-11,2.3325046425308008e-18,1.3793593889921731e-08,4.5960405020569602e-14,2.3724507210751445e-06,0.0,1.4006601716749817e-14,8.8661745853358475e-16,0.0091465777880935604,0.71339060057496106
0.097500000000000003,0.00055783633609623052,0.22231394267301077,816.63537414843449,0.4187368535039805,0.0,1.5240447492173229e-12,6.8397483857592855e-13,0.077572871164016052,1.1950866432975503e-11,0.10148122604539064,1.0977803902286404e-08,4.5534325607757042e-09,4.3324374027108681e-30,1.7985563118437365e-27,4.8859453565886934e-17,1.82814931795065e-18,9.164775317371696e-08,0.033214982044907387,6.2318232544896029e-06,0.065037805624810513,2.8563275600955607e-15,1.4968496008633239e-06,4.0319792454605719e-18,2.9034707673087438e-12,7.3575964703962448e-09,0.0,1.6120098507778154e-11,4.4332690556065393e-18,1.4488138111085127e-08,8.6485259147184438e-14,2.4905972462437442e-06,0.0,1.4797221401201204e-14,9.3701103845823706e-16,0.0091485242585915144,0.71353424253417053
0.098125000000000004,0.00032241508345358497,0.17148957367160017,838.10959270737544,0.4083015299580372,0.0,2.5432219393740141e-12,1.2482967935664952e-12,0.072382434102306936,2.1235745055787864e-11,0.10552493545678288,1.166246385904392e-08,4.6394554328561349e-09,0.0,8.0584364786999129e-27,1.219690721861322e-16,4.3252842435133247e-18,1.2373063167139074e-07,0.030879296429736011,6.5178500518349348e-06,0.068371470876773754,5.1131470391506134e-15,1.5541976439574169e-06,7.2072307831080127e-18,3.2679262140167976e-12,7.6217342526007626e-09,0.0,1.6915770590815047e-11,8.4952049377420866e-18,1.5141955637803067e-08,1.6696295091532206e-13,2.5996388000162349e-06,0.0,1.5569251222432613e-14,9.8670065387393273e-16,0.0091505102803405951,0.7136805183259235
0.098750000000000004,0.00014707634543847006,0.11744690568081545,859.15464149910179,0.3985855793221574,0.0,4.2808563030750919e-12,2.2879793238753552e-12,0.067272808986489047,3.864570003658825e-11,0.10949712179948244,1.233542315131626e-08,4.6853699857738549e-09,0.0,3.876692826885027e-26,3.2148976438133437e-16,1.0782541190963958e-17,1.7167729330707288e-07,0.028576734283970281,6.7995707166311447e-06,0.07166056125365719,9.2382358664871321e-15,1.6021759453603013e-06,1.3208029860037081e-17,3.8080692792244933e-12,7.8456228518721324e-09,0.0,1.7696986695396989e-11,1.6555134634076739e-17,1.5730622296062833e-08,3.3522464252689221e-13,2.6947931167135715e-06,0.0,1.6311533702629857e-14,1.035650326419436e-15,0.0091525291571864786,0.71382893563802252
0.099062499999999998,8.3777114761887176e-05,0.089242869490218729,869.51825676842009,0.3939762494530664,0.0,5.6275125309060845e-12,3.1382916648837533e-12,0.06473296323466976,5.3110778903952675e-11,0.11146882290642836,1.2647920553941943e-08,4.6947521763196368e-09,0.0,9.0112910969001626e-26,5.4328767778996863e-16,1.7700988189144536e-17,2.0625802456398614e-07,0.027430935577410234,6.9396132914203829e-06,0.07329792094637369,1.2564219540984546e-14,1.6210599374357073e-06,1.8330095449892217e-17,4.1971449292474049e-12,7.9380758339371731e-09,0.0,1.8083631331383752e-11,2.3486819898279563e-17,1.598436957358022e-08,4.8964305515307729e-13,2.7340148366511769e-06,0.0,1.6663507095271556e-14,1.0599930613752697e-15,0.0091535551765035868,0.71390425986272821
0.099375000000000005,3.7696438610000756e-05,0.060261019926434838,879.77891516701038,0.3895206738332079,0.0,7.4391468261031375e-12,4.4190280106978886e-12,0.062213413586858564,7.3712918265425341e-11,0.11342310122232681,1.2928754842080123e-08,4.6968239010093108e-09,5.259515893730017e-24,2.1598754035306061e-25,9.3804318054377166e-16,2.9672204137529677e-17,2.5040180631903946e-07,0.026293446805858184,7.0785178779190371e-06,0.074923727047369604,1.7180593392450828e-14,1.6356163202242598e-06,2.5996634734560726e-17,4.6742498916262715e-12,8.0146052884665571e-09,0.0,1.8465604973887864e-11,3.3569856815265114e-17,1.6199717125800498e-08,7.2790827042932254e-13,2.7655160285607334e-06,8.5959129805608882e-21,1.6994289301087952e-14,1.0841512970067934e-15,0.0091545871412696146,0.71397995219490784
0.099531250000000016,2.1332788176383418e-05,0.045481422168387561,884.87124526646676,0.3873483117890216,0.0,8.5808938520681842e-12,6.5412366922354048e-12,0.060957492389527801,8.8217799648970633e-11,0.11439665592739849,1.3049131661802244e-08,4.6962816377599809e-09,3.0389123179768454e-20,3.4888015622030146e-25,1.2634533987845969e-15,3.9370694419177564e-17,2.7760852471425582e-07,0.025726125382608971,7.1477394173222108e-06,0.075734702130609607,2.0270771062041526e-14,1.6408715759384123e-06,3.1717704854981069e-17,4.9634324652669678e-12,8.045683888396072e-09,1.1122910811928083e-22,1.865528020599184e-11,4.0001426797843393e-17,1.6287508373186416e-08,9.0446926429854931e-13,2.7772980775017626e-06,2.116227960659361e-19,1.7147844709142795e-14,1.0962122767658065e-15,0.0091551066560393683,0.71401803178971179
0.099687500000000012,9.5379395908976046e-06,0.030510669373584993,889.93867475617026,0.3852114797110669,0.0,9.8003684836694988e-12,2.1357131946008477e-11,0.059706563319705752,1.2733291021824907e-10,0.1153659615688694,1.3152008194477534e-08,4.695237927332408e-09,1.0389524792752295e-16,6.7135331952786629e-25,2.0338259224640718e-15,6.2323584126155347e-17,3.0881012966889717e-07,0.025160847960724382,7.2166687017325858e-06,0.076542815759838248,2.4811424719717161e-14,1.6445950585654906e-06,4.2074140634693627e-17,5.2691865563888318e-12,8.0713232864778093e-09,2.2705275274848626e-22,1.8843590878023638e-11,4.9928139182332009e-17,1.6359091256794188e-08,1.2354005443883745e-12,2.785896573596656e-06,3.7660912408367417e-19,1.7290503972916508e-14,1.1081383419199403e-15,0.0091556274150915596,0.71405618554376249
0.099843750000000009,2.3984126332165628e-06,0.015349840856709188,894.98151782223874,0.38310926079612023,0.0,1.0264710003856982e-11,1.6855977718834257e-10,0.058460569090844419,9.0173892006274545e-10,0.11633107308769292,1.323168724100536e-08,4.6943769814611619e-09,4.4170451220583168e-13,1.4128529131701182e-22,1.5307597155368973e-14,4.7674430897949625e-16,3.4354983410918827e-07,0.024597592188209571,7.2853008473594077e-06,0.077348098176114197,6.2594687760596432e-14,1.6465906316785874e-06,1.9461369115535106e-16,5.4708994669504693e-12,8.0905375461679618e-09,1.8352146417608011e-20,1.9030611050557646e-11,7.1143854029645415e-17,1.6409186595190849e-08,2.9043927675147468e-12,2.7906720625544372e-06,0.0,1.741738508377511e-14,1.1198813015171552e-15,0.009156149350489801,0.71409440845897698
0.10000000000000001,0.0,0.0,900.0,0.3810408065736557,0.0,3.8539030437174805e-13,6.4998949849470384e-12,0.057219449925477242,2.8369137271114204e-08,0.11729201755256546,1.3232421953147914e-08,4.6946394229827857e-09,1.8144011730026151e-09,1.6258898559457306e-22,1.5308351639852855e-14,4.7676780724027766e-16,3.4356714013489222e-07,0.024036371521464473,7.3509095116317295e-06,0.078150584924560021,6.2598805343571189e-14,1.6466995254246844e-06,1.9462691191232412e-16,5.4712691757888184e-12,8.0910848617534896e-09,1.8353399285517974e-20,1.9031899385232146e-11,7.1148756573954307e-17,1.6410294503344016e-08,2.9046059384463881e-12,2.7908786375175487e-06,0.0,1.741875261130249e-14,1.1199711843179646e-15,0.0091566724407766403,0.71413269893397224
